,name,price,adress,image_link
169,Mouton,850000,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_4266788_uploaded_image1_1687450587.jpg
170,Mouton Ladoum,750000,"Biscuiterie, Dakar, Sénégal",https://images.coinafrique.com/thumb_4265814_uploaded_image1_1687398275.jpg
171,Mouton ,90000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4265763_uploaded_image1_1687391518.jpg
172,Mouton Azawat,400000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4265640_uploaded_image1_1687383347.jpg
173,Mouton,Prixsurdemande,"Louga, Sénégal",https://images.coinafrique.com/thumb_4264167_uploaded_image1_1687307074.jpg
174,Mouton,350000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4263512_uploaded_image1_1687272550.jpg
175,Bélier,500000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4261540_uploaded_image1_1687133074.jpg
176,Mouton ,145,"Diourbel, Sénégal",https://images.coinafrique.com/thumb_4261323_uploaded_image1_1687119871.jpg
177,Mouton,Prixsurdemande,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_4261058_uploaded_image2_1687100799.jpeg
178,Mouton,130,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4260735_uploaded_image1_1687082949.jpg
179,Mouton,400000,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4260583_uploaded_image1_1687054565.jpg
180,Mouton ,115000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4260472_uploaded_image1_1687036105.jpg
181,Mouron,400000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4260033_uploaded_image1_1687006073.jpg
182,Mouton ,250000,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_4259620_uploaded_image1_1686961537.jpg
183,Mouton ,700,"Louga, Sénégal",https://images.coinafrique.com/thumb_4259601_uploaded_image1_1686959085.jpg
184,Mouton ,135000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4259471_uploaded_image1_1686949364.jpg
185,Mouton,140000,"Diamniadio, Sénégal",https://images.coinafrique.com/thumb_4258464_uploaded_image1_1686868865.jpg
186,Mouton ,350000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4224488_uploaded_image1_1684672341.jpg
187,Mouton ,13000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4257202_uploaded_image2_1686787473.jpeg
188,Mouton azwat,250000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4256261_uploaded_image1_1686746544.jpg
189,Bélier,475000,"Louga, Sénégal",https://images.coinafrique.com/thumb_4253138_uploaded_image1_1686569913.jpg
190,Mouton Ladoum,400000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4252367_uploaded_image1_1686511140.jpg
191,Mouton,250000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4252068_uploaded_image1_1686495864.jpg
192,Mouton,800000,"Louga, Sénégal",https://images.coinafrique.com/thumb_4251926_uploaded_image1_1686489428.jpg
